Account ID,Subject,Body,Spam Label,Email Length,Number of Links
user1@mail.com,Subject 1,Body content for email 1. Check this link: http://example.com/1,0,63,1
user2@mail.com,Subject 2,Body content for email 2. Check this link: http://example.com/2,1,63,1
user3@mail.com,Subject 3,Body content for email 3. Check this link: http://example.com/3,1,63,1
user4@mail.com,Subject 4,Body content for email 4. Check this link: http://example.com/4,0,63,1
user5@mail.com,Subject 5,Body content for email 5. Check this link: http://example.com/5,0,63,1
user6@mail.com,Subject 6,Body content for email 6. Check this link: http://example.com/6,0,63,1
user7@mail.com,Subject 7,Body content for email 7. Check this link: http://example.com/7,0,63,1
user8@mail.com,Subject 8,Body content for email 8. Check this link: http://example.com/8,1,63,1
user9@mail.com,Subject 9,Body content for email 9. Check this link: http://example.com/9,0,63,1
user10@mail.com,Subject 10,Body content for email 10. Check this link: http://example.com/10,1,65,1
user11@mail.com,Subject 11,Body content for email 11. Check this link: http://example.com/11,0,65,1
user12@mail.com,Subject 12,Body content for email 12. Check this link: http://example.com/12,1,65,1
user13@mail.com,Subject 13,Body content for email 13. Check this link: http://example.com/13,1,65,1
user14@mail.com,Subject 14,Body content for email 14. Check this link: http://example.com/14,0,65,1
user15@mail.com,Subject 15,Body content for email 15. Check this link: http://example.com/15,0,65,1
user16@mail.com,Subject 16,Body content for email 16. Check this link: http://example.com/16,0,65,1
user17@mail.com,Subject 17,Body content for email 17. Check this link: http://example.com/17,0,65,1
user18@mail.com,Subject 18,Body content for email 18. Check this link: http://example.com/18,0,65,1
user19@mail.com,Subject 19,Body content for email 19. Check this link: http://example.com/19,0,65,1
user20@mail.com,Subject 20,Body content for email 20. Check this link: http://example.com/20,0,65,1
user21@mail.com,Subject 21,Body content for email 21. Check this link: http://example.com/21,0,65,1
user22@mail.com,Subject 22,Body content for email 22. Check this link: http://example.com/22,0,65,1
user23@mail.com,Subject 23,Body content for email 23. Check this link: http://example.com/23,0,65,1
user24@mail.com,Subject 24,Body content for email 24. Check this link: http://example.com/24,0,65,1
user25@mail.com,Subject 25,Body content for email 25. Check this link: http://example.com/25,0,65,1
user26@mail.com,Subject 26,Body content for email 26. Check this link: http://example.com/26,1,65,1
user27@mail.com,Subject 27,Body content for email 27. Check this link: http://example.com/27,0,65,1
user28@mail.com,Subject 28,Body content for email 28. Check this link: http://example.com/28,0,65,1
user29@mail.com,Subject 29,Body content for email 29. Check this link: http://example.com/29,0,65,1
user30@mail.com,Subject 30,Body content for email 30. Check this link: http://example.com/30,0,65,1
user31@mail.com,Subject 31,Body content for email 31. Check this link: http://example.com/31,0,65,1
user32@mail.com,Subject 32,Body content for email 32. Check this link: http://example.com/32,0,65,1
user33@mail.com,Subject 33,Body content for email 33. Check this link: http://example.com/33,0,65,1
user34@mail.com,Subject 34,Body content for email 34. Check this link: http://example.com/34,1,65,1
user35@mail.com,Subject 35,Body content for email 35. Check this link: http://example.com/35,1,65,1
user36@mail.com,Subject 36,Body content for email 36. Check this link: http://example.com/36,1,65,1
user37@mail.com,Subject 37,Body content for email 37. Check this link: http://example.com/37,0,65,1
user38@mail.com,Subject 38,Body content for email 38. Check this link: http://example.com/38,0,65,1
user39@mail.com,Subject 39,Body content for email 39. Check this link: http://example.com/39,0,65,1
user40@mail.com,Subject 40,Body content for email 40. Check this link: http://example.com/40,0,65,1
user41@mail.com,Subject 41,Body content for email 41. Check this link: http://example.com/41,0,65,1
user42@mail.com,Subject 42,Body content for email 42. Check this link: http://example.com/42,0,65,1
user43@mail.com,Subject 43,Body content for email 43. Check this link: http://example.com/43,0,65,1
user44@mail.com,Subject 44,Body content for email 44. Check this link: http://example.com/44,1,65,1
user45@mail.com,Subject 45,Body content for email 45. Check this link: http://example.com/45,0,65,1
user46@mail.com,Subject 46,Body content for email 46. Check this link: http://example.com/46,0,65,1
user47@mail.com,Subject 47,Body content for email 47. Check this link: http://example.com/47,0,65,1
user48@mail.com,Subject 48,Body content for email 48. Check this link: http://example.com/48,0,65,1
user49@mail.com,Subject 49,Body content for email 49. Check this link: http://example.com/49,0,65,1
user50@mail.com,Subject 50,Body content for email 50. Check this link: http://example.com/50,0,65,1
user51@mail.com,Subject 51,Body content for email 51. Check this link: http://example.com/51,1,65,1
user52@mail.com,Subject 52,Body content for email 52. Check this link: http://example.com/52,1,65,1
user53@mail.com,Subject 53,Body content for email 53. Check this link: http://example.com/53,1,65,1
user54@mail.com,Subject 54,Body content for email 54. Check this link: http://example.com/54,1,65,1
user55@mail.com,Subject 55,Body content for email 55. Check this link: http://example.com/55,0,65,1
user56@mail.com,Subject 56,Body content for email 56. Check this link: http://example.com/56,1,65,1
user57@mail.com,Subject 57,Body content for email 57. Check this link: http://example.com/57,0,65,1
user58@mail.com,Subject 58,Body content for email 58. Check this link: http://example.com/58,0,65,1
user59@mail.com,Subject 59,Body content for email 59. Check this link: http://example.com/59,0,65,1
user60@mail.com,Subject 60,Body content for email 60. Check this link: http://example.com/60,0,65,1
user61@mail.com,Subject 61,Body content for email 61. Check this link: http://example.com/61,0,65,1
user62@mail.com,Subject 62,Body content for email 62. Check this link: http://example.com/62,0,65,1
user63@mail.com,Subject 63,Body content for email 63. Check this link: http://example.com/63,1,65,1
user64@mail.com,Subject 64,Body content for email 64. Check this link: http://example.com/64,0,65,1
user65@mail.com,Subject 65,Body content for email 65. Check this link: http://example.com/65,0,65,1
user66@mail.com,Subject 66,Body content for email 66. Check this link: http://example.com/66,0,65,1
user67@mail.com,Subject 67,Body content for email 67. Check this link: http://example.com/67,0,65,1
user68@mail.com,Subject 68,Body content for email 68. Check this link: http://example.com/68,1,65,1
user69@mail.com,Subject 69,Body content for email 69. Check this link: http://example.com/69,0,65,1
user70@mail.com,Subject 70,Body content for email 70. Check this link: http://example.com/70,1,65,1
user71@mail.com,Subject 71,Body content for email 71. Check this link: http://example.com/71,1,65,1
user72@mail.com,Subject 72,Body content for email 72. Check this link: http://example.com/72,0,65,1
user73@mail.com,Subject 73,Body content for email 73. Check this link: http://example.com/73,0,65,1
user74@mail.com,Subject 74,Body content for email 74. Check this link: http://example.com/74,1,65,1
user75@mail.com,Subject 75,Body content for email 75. Check this link: http://example.com/75,1,65,1
user76@mail.com,Subject 76,Body content for email 76. Check this link: http://example.com/76,1,65,1
user77@mail.com,Subject 77,Body content for email 77. Check this link: http://example.com/77,1,65,1
user78@mail.com,Subject 78,Body content for email 78. Check this link: http://example.com/78,0,65,1
user79@mail.com,Subject 79,Body content for email 79. Check this link: http://example.com/79,0,65,1
user80@mail.com,Subject 80,Body content for email 80. Check this link: http://example.com/80,0,65,1
user81@mail.com,Subject 81,Body content for email 81. Check this link: http://example.com/81,1,65,1
user82@mail.com,Subject 82,Body content for email 82. Check this link: http://example.com/82,0,65,1
user83@mail.com,Subject 83,Body content for email 83. Check this link: http://example.com/83,0,65,1
user84@mail.com,Subject 84,Body content for email 84. Check this link: http://example.com/84,0,65,1
user85@mail.com,Subject 85,Body content for email 85. Check this link: http://example.com/85,0,65,1
user86@mail.com,Subject 86,Body content for email 86. Check this link: http://example.com/86,0,65,1
user87@mail.com,Subject 87,Body content for email 87. Check this link: http://example.com/87,1,65,1
user88@mail.com,Subject 88,Body content for email 88. Check this link: http://example.com/88,0,65,1
user89@mail.com,Subject 89,Body content for email 89. Check this link: http://example.com/89,1,65,1
user90@mail.com,Subject 90,Body content for email 90. Check this link: http://example.com/90,0,65,1
user91@mail.com,Subject 91,Body content for email 91. Check this link: http://example.com/91,0,65,1
user92@mail.com,Subject 92,Body content for email 92. Check this link: http://example.com/92,1,65,1
user93@mail.com,Subject 93,Body content for email 93. Check this link: http://example.com/93,1,65,1
user94@mail.com,Subject 94,Body content for email 94. Check this link: http://example.com/94,0,65,1
user95@mail.com,Subject 95,Body content for email 95. Check this link: http://example.com/95,1,65,1
user96@mail.com,Subject 96,Body content for email 96. Check this link: http://example.com/96,0,65,1
user97@mail.com,Subject 97,Body content for email 97. Check this link: http://example.com/97,0,65,1
user98@mail.com,Subject 98,Body content for email 98. Check this link: http://example.com/98,0,65,1
user99@mail.com,Subject 99,Body content for email 99. Check this link: http://example.com/99,0,65,1
user100@mail.com,Subject 100,Body content for email 100. Check this link: http://example.com/100,0,67,1
user101@mail.com,Subject 101,Body content for email 101. Check this link: http://example.com/101,0,67,1
user102@mail.com,Subject 102,Body content for email 102. Check this link: http://example.com/102,0,67,1
user103@mail.com,Subject 103,Body content for email 103. Check this link: http://example.com/103,0,67,1
user104@mail.com,Subject 104,Body content for email 104. Check this link: http://example.com/104,0,67,1
user105@mail.com,Subject 105,Body content for email 105. Check this link: http://example.com/105,1,67,1
user106@mail.com,Subject 106,Body content for email 106. Check this link: http://example.com/106,0,67,1
user107@mail.com,Subject 107,Body content for email 107. Check this link: http://example.com/107,0,67,1
user108@mail.com,Subject 108,Body content for email 108. Check this link: http://example.com/108,1,67,1
user109@mail.com,Subject 109,Body content for email 109. Check this link: http://example.com/109,0,67,1
user110@mail.com,Subject 110,Body content for email 110. Check this link: http://example.com/110,0,67,1
user111@mail.com,Subject 111,Body content for email 111. Check this link: http://example.com/111,0,67,1
user112@mail.com,Subject 112,Body content for email 112. Check this link: http://example.com/112,0,67,1
user113@mail.com,Subject 113,Body content for email 113. Check this link: http://example.com/113,1,67,1
user114@mail.com,Subject 114,Body content for email 114. Check this link: http://example.com/114,1,67,1
user115@mail.com,Subject 115,Body content for email 115. Check this link: http://example.com/115,0,67,1
user116@mail.com,Subject 116,Body content for email 116. Check this link: http://example.com/116,1,67,1
user117@mail.com,Subject 117,Body content for email 117. Check this link: http://example.com/117,1,67,1
user118@mail.com,Subject 118,Body content for email 118. Check this link: http://example.com/118,0,67,1
user119@mail.com,Subject 119,Body content for email 119. Check this link: http://example.com/119,1,67,1
user120@mail.com,Subject 120,Body content for email 120. Check this link: http://example.com/120,0,67,1
user121@mail.com,Subject 121,Body content for email 121. Check this link: http://example.com/121,1,67,1
user122@mail.com,Subject 122,Body content for email 122. Check this link: http://example.com/122,1,67,1
user123@mail.com,Subject 123,Body content for email 123. Check this link: http://example.com/123,0,67,1
user124@mail.com,Subject 124,Body content for email 124. Check this link: http://example.com/124,0,67,1
