Account ID,Subject,Body,Spam Label,Email Length,Number of Links
user1@mail.com,Subject 1 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 1",0,82,0
user2@mail.com,Subject 2 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 2",1,82,0
user3@mail.com,Subject 3 - General,Get amazing discounts on your next purchase! Visit http://sale.com/3 to know more.,0,82,1
user4@mail.com,Subject 4 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 4",0,82,0
user5@mail.com,Subject 5 - Important,Congratulations! You've won a prize! Click here: http://example.com/5 Claim now: http://claim.com/5,0,99,2
user6@mail.com,Subject 6 - General,Get amazing discounts on your next purchase! Visit http://sale.com/6 to know more.,0,82,1
user7@mail.com,Subject 7 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 7",0,82,0
user8@mail.com,Subject 8 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 8",1,82,0
user9@mail.com,Subject 9 - General,Get amazing discounts on your next purchase! Visit http://sale.com/9 to know more.,0,82,1
user10@mail.com,Subject 10 - Important,Congratulations! You've won a prize! Click here: http://example.com/10 Claim now: http://claim.com/10,0,101,2
user11@mail.com,Subject 11 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 11",0,83,0
user12@mail.com,Subject 12 - General,Get amazing discounts on your next purchase! Visit http://sale.com/12 to know more.,1,83,1
user13@mail.com,Subject 13 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 13",1,83,0
user14@mail.com,Subject 14 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 14",0,83,0
user15@mail.com,Subject 15 - Important,Congratulations! You've won a prize! Click here: http://example.com/15 Claim now: http://claim.com/15,0,101,2
user16@mail.com,Subject 16 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 16",0,83,0
user17@mail.com,Subject 17 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 17",0,83,0
user18@mail.com,Subject 18 - General,Get amazing discounts on your next purchase! Visit http://sale.com/18 to know more.,0,83,1
user19@mail.com,Subject 19 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 19",0,83,0
user20@mail.com,Subject 20 - Important,Congratulations! You've won a prize! Click here: http://example.com/20 Claim now: http://claim.com/20,0,101,2
user21@mail.com,Subject 21 - General,Get amazing discounts on your next purchase! Visit http://sale.com/21 to know more.,0,83,1
user22@mail.com,Subject 22 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 22",0,83,0
user23@mail.com,Subject 23 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 23",0,83,0
user24@mail.com,Subject 24 - General,Get amazing discounts on your next purchase! Visit http://sale.com/24 to know more.,0,83,1
user25@mail.com,Subject 25 - Important,Congratulations! You've won a prize! Click here: http://example.com/25 Claim now: http://claim.com/25,0,101,2
user26@mail.com,Subject 26 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 26",1,83,0
user27@mail.com,Subject 27 - General,Get amazing discounts on your next purchase! Visit http://sale.com/27 to know more.,0,83,1
user28@mail.com,Subject 28 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 28",0,83,0
user29@mail.com,Subject 29 - General,"Hello, this is a regular email. No urgent matter. Please ignore if not relevant. 29",0,83,0
